time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,7.40926676391693e-12,0,7.53020046818253e-12,-1.06505782631299e-08,7.77555568928694e-12,-1.36282292888344e-08,1.58186853918082e-11,-9.49599545826338e-09,8.91627950444003e-12,2.6722792741233e-08,2.55610748725855e-11,6.76682975104254e-08,1.05685233322954e-11,1.39788671380834e-07,3.7069164548186e-11,2.79145869634537e-07,1.23607050820804e-11,2.71170946505916e-07,5.19706404682008e-11,5.13645965930934e-07,1.70816652565786e-11,9.72643014603631e-08,6.76978642457772e-11,1.26538776689646e-07,-1.14752601420166e-12,-1.12104911192705e-06,-3.58474034658334e-11,-2.30029149297852e-06,-2.81085388084367e-10,-3.97920218228038e-06,-6.28743168361128e-10,-7.78481474648394e-06,-8.38364437050139e-10,-6.44624888634674e-06
0.004,0,0,2.05234252583046e-10,0,2.08159749274371e-10,-3.60421971709431e-08,2.13960303043187e-10,9.38053918565416e-09,4.32934129954634e-10,1.80038982455615e-07,2.36289220584098e-10,4.97744601763885e-07,6.79692544653187e-10,1.05753137705512e-06,2.5565481936438e-10,1.25583278924522e-06,9.59246152539211e-10,2.48271208110994e-06,3.12146153350519e-10,1.34555149282686e-06,1.34578369012184e-09,2.85850947311056e-06,4.07724316385437e-10,-1.24654555352243e-06,1.37058881600901e-09,-1.61860272390526e-06,-8.66342830629442e-10,-8.55834389114376e-06,-2.07610113187204e-09,-1.55077727745496e-05,-6.88393372356758e-09,-1.93739437905978e-05,-1.28030468977823e-08,-3.89710173280756e-05,-1.33804390005894e-08,-2.58031889110359e-05
0.006,0,0,1.66941962207815e-09,0,1.68201139851293e-09,3.58208794843701e-07,1.69856914477712e-09,9.43810546167802e-07,3.38100189286605e-09,2.24700002434303e-06,1.68052772498987e-09,2.91705276447287e-06,5.05165305283121e-09,5.97577691932829e-06,1.697719694804e-09,4.17320454335945e-06,7.03155093281286e-09,9.19101493919435e-06,2.28510364590317e-09,1.21037621109253e-06,9.15598655947189e-09,5.76389546468925e-06,9.52598664384511e-10,-9.52633248052151e-06,4.85371644289022e-09,-1.25124762434015e-05,-1.25002047745467e-08,-2.79908341862959e-05,-2.22548107238596e-08,-5.07860621882941e-05,-4.35891505052912e-08,-4.79899135629719e-05,-8.03743700875187e-08,-0.000105236379256104,-6.75842245546305e-08,-5.80491380300323e-05
0.008,0,0,6.96122096943355e-09,0,6.78312730170751e-09,2.76598044698042e-06,6.46789087842204e-09,5.34625223219886e-06,1.28389455610757e-08,1.00539304204741e-05,5.71840498215532e-09,8.67289505781319e-06,1.88703752560321e-08,1.8263049892231e-05,6.64959096417624e-09,6.41658396652013e-06,2.63600134538124e-08,1.95358651644128e-05,7.31154020704151e-09,-5.77892478991875e-06,2.82220987285555e-08,2.92403794062588e-06,-8.37966054877254e-09,-2.9131938555166e-05,-3.86599438572633e-09,-4.11907553420552e-05,-6.31073399947519e-08,-5.97320113712472e-05,-1.10804212979161e-07,-0.000116190893162801,-1.53165887375102e-07,-8.91025998221716e-05,-3.00899650045404e-07,-0.000214371362177038,-2.13237488152095e-07,-0.000103160995072634
0.01,0,0,1.86740109584829e-08,0,1.67062396547224e-08,8.39729101736025e-06,1.41092507156753e-08,1.46698909179476e-05,2.9696320146753e-08,2.49856182319124e-05,1.31030114496545e-08,1.62513454076465e-05,4.54728723750569e-08,3.62399521391769e-05,1.82540927412306e-08,3.89067448226004e-06,6.18458564102112e-08,2.81511393194154e-05,9.08729611939742e-09,-2.22438450470986e-05,4.60098674654948e-08,-1.21100468691598e-05,-5.27615405143794e-08,-5.98796782273827e-05,-7.25958571402267e-08,-9.37699740019564e-05,-1.98370377129401e-07,-0.000103811553748001,-3.71210070055913e-07,-0.000218346851904161,-3.9976767131508e-07,-0.000143348845177325,-8.46097000943067e-07,-0.000373320387042045,-5.20891909035241e-07,-0.000161276379698688
0.012,0,0,3.56768307081648e-08,0,2.94559439400803e-08,1.47593027355875e-05,2.21022322795225e-08,2.483544900143e-05,5.08223638065587e-08,4.06154361056036e-05,2.4256294425927e-08,2.26168400855096e-05,8.18832839926983e-08,5.22680482683783e-05,3.4689997989832e-08,-2.73816552888112e-06,1.03019990512456e-07,2.91583373626545e-05,-7.33400546963586e-09,-4.60401976837092e-05,2.55264118862629e-08,-4.39509277835496e-05,-1.72312425167124e-07,-0.00010165445073142,-2.94133765468183e-07,-0.000175459088559965,-4.88659482134024e-07,-0.000161030119098414,-9.76505757418975e-07,-0.000362923737690727,-8.71625920278534e-07,-0.000210982569602715,-1.98221198447134e-06,-0.000588183319247836,-1.08637828093037e-06,-0.000232948300116261
0.014,0,0,5.18647091303112e-08,0,4.24781080381454e-08,1.81083726265135e-05,3.15925433843832e-08,3.02096454163231e-05,7.42513966386993e-08,4.85759920117939e-05,3.73878618707101e-08,2.49718366007693e-05,1.20857174929318e-07,5.72130961668973e-05,4.72228385742825e-08,-1.26459345717864e-05,1.28640565919083e-07,1.4789872253832e-05,-6.36304091569696e-08,-7.55939446667835e-05,-8.96085779611205e-08,-9.86946093831154e-05,-4.17338955606542e-07,-0.000152631872048153,-7.91815144273137e-07,-0.000290667385405323,-1.01805348986872e-06,-0.00023019555957373,-2.15106186499744e-06,-0.000554045187948982,-1.68433647860868e-06,-0.000292449844211063,-4.05483198889971e-06,-0.000863614639597097,-2.0328399001644e-06,-0.000318684635701265
0.016,0,0,6.19798292716809e-08,0,5.21945632550144e-08,1.84489335906584e-05,4.14276767194494e-08,3.00377317880322e-05,9.64319076363228e-08,4.63910508613675e-05,5.18230943001257e-08,1.90830733878335e-05,1.52025070869667e-07,4.36453261866466e-05,4.09941754903948e-08,-3.05870058200972e-05,1.05627977949323e-07,-2.52273504372945e-05,-1.88693546572951e-07,-0.000111394377060771,-3.6496872139829e-07,-0.000185140731776278,-8.25918719465538e-07,-0.000210038833185138,-1.68323395169915e-06,-0.000445269259957712,-1.85540713086422e-06,-0.000308438563918367,-4.09669806104036e-06,-0.000794689619796331,-2.93387196748291e-06,-0.00038482658586635,-7.36601100069282e-06,-0.00119982083356743,-3.46052458724443e-06,-0.00041581947530365
0.018,0,0,6.85404881385101e-08,0,6.09663208482012e-08,1.62670069678643e-05,5.40573866947055e-08,2.46328384462327e-05,1.21601220164068e-07,3.37990925666718e-05,6.69168770517218e-08,2.98863393700492e-06,1.7024053696558e-07,8.27704784252292e-06,-4.51580149914796e-09,-6.04553032608577e-05,-4.90896046435223e-09,-9.8447746538268e-05,-4.28569474649881e-07,-0.000157716672760705,-8.91303325108175e-07,-0.000313946358595699,-1.44951713860714e-06,-0.000275073889991768,-3.09434697276034e-06,-0.00064830844577809,-3.01485864777937e-06,-0.000391423234584034,-6.9342239074606e-06,-0.00108789035436225,-4.60077209630637e-06,-0.000481002324784003,-1.20108975364768e-05,-0.00159228763716228,-5.34097837035103e-06,-0.000516608546076987
