time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,2.05821095269207e-15,0,2.09180497518143e-15,-1.77513148593413e-10,2.1599618952964e-15,-2.27141649932724e-10,4.39425284141692e-15,-1.58269731987699e-10,2.47684213819186e-15,4.4538866652427e-10,7.10057903698365e-15,1.12782721795691e-09,2.93581688426428e-15,2.32985721877507e-09,1.02973968761449e-14,4.65252307370066e-09,3.43366479975102e-15,4.51960511005133e-09,1.44368592274403e-14,8.56093530911326e-09,4.7450944264301e-15,1.62110384018337e-09,1.88057050862523e-14,2.10902152200084e-09,-3.18769754868346e-16,-1.86845207901497e-08,-9.95800539283298e-15,-3.83389484454807e-08,-7.80823586879752e-14,-6.63213462111901e-08,-1.74657778671542e-13,-1.29749474610451e-07,-2.32888208509998e-13,-1.07439603192191e-07
0.004,0,0,5.70142324211337e-14,0,5.78269430868144e-14,-6.00737093617776e-10,5.94383541140046e-14,1.5631710231492e-10,1.20269494544613e-13,3.00068842395634e-09,6.56414430964376e-14,8.29596019160783e-09,1.88819394716034e-13,1.76260055519487e-08,7.10214426006879e-14,2.09312416975161e-08,2.664799642471e-13,4.13799136742084e-08,8.67147755327261e-14,2.24268498850864e-08,3.73860902565443e-13,4.76438042814099e-08,1.13267218816914e-13,-2.07759658160442e-08,3.80755291696141e-13,-2.69769699334801e-08,-2.40664756761411e-13,-1.42644111419371e-07,-5.76735530447351e-13,-2.58472539698472e-07,-1.91237131006846e-12,-3.22913357767204e-07,-3.55672681642821e-12,-6.49545238988908e-07,-3.71715706650207e-12,-4.30074444807059e-07
0.006,0,0,4.63796614168346e-13,0,4.67295205325797e-13,5.97013522658893e-09,4.71896115758903e-13,1.5730432104825e-08,9.39310464246734e-13,3.74510439641299e-08,4.66888521699722e-13,4.86196283065731e-08,1.403457134701e-12,9.96006715333408e-08,4.71667986923323e-13,6.95579463477803e-08,1.95351935667136e-12,1.53192850102723e-07,6.34856226629678e-13,2.01772544063921e-08,2.54375969495261e-12,9.60748794978785e-08,2.64713683229607e-13,-1.58777363460816e-07,1.34861069980723e-12,-2.08547827351601e-07,-3.4726816973559e-12,-4.66544790675546e-07,-6.18269036067593e-12,-8.46491110632845e-07,-1.21101898382973e-11,-7.9990242932996e-07,-2.23300831824447e-11,-1.75408315518081e-06,-1.87771399415323e-11,-9.67582023985129e-07
0.008,0,0,1.93416361570059e-12,0,1.88469425574528e-12,4.61010272321942e-08,1.7971279921381e-12,8.91077864960643e-08,3.5673500978417e-12,1.67574083322114e-07,1.58892092869933e-12,1.44559503971674e-07,5.24323503306531e-12,3.04407532312383e-07,1.84762871609746e-12,1.06960253808422e-07,7.32430998008162e-12,3.2563585132166e-07,2.03168935276431e-12,-9.6307052960811e-08,7.84214297233151e-12,4.87631147757383e-08,-2.32752545554444e-12,-4.85565401991057e-07,-1.07262511852523e-12,-6.86555459352209e-07,-1.75336008246438e-11,-9.95651489120102e-07,-3.07856790362971e-11,-1.93673085610369e-06,-4.25589086952587e-11,-1.48527192404437e-06,-8.36072548186083e-11,-3.5733417154474e-06,-5.92528756088898e-11,-1.71964341696077e-06
0.01,0,0,5.18944862117745e-12,0,4.64278367891924e-12,1.3996451746695e-07,3.92129464758725e-12,2.44518345057495e-07,8.25309486222287e-12,4.1646750608729e-07,3.64162784651314e-12,2.70896323487798e-07,1.26375591645918e-11,6.04084321673172e-07,5.07295002245988e-12,6.4888023091147e-08,1.71883014652485e-11,4.69297169007304e-07,2.5269459575555e-12,-3.70732257311996e-07,1.27905425806878e-11,-2.01778522956995e-07,-1.46579375345975e-11,-9.9811986611969e-07,-2.01650699047225e-11,-1.56300086061434e-06,-5.51228270034286e-11,-1.73052664188254e-06,-1.03149114896739e-10,-3.6397389829074e-06,-1.11099287411793e-10,-2.38972389635745e-06,-2.35129243691193e-10,-6.22329197296707e-06,-1.44768544832103e-10,-2.68864828339706e-06
0.012,0,0,9.91755641583119e-12,0,8.18904005306408e-12,2.46025895480717e-07,6.14565851006435e-12,4.13995398954934e-07,1.41299637823135e-11,6.77055542213533e-07,6.74369335579004e-12,3.77056608998492e-07,2.27648260433944e-11,8.71368472564411e-07,9.64403765467488e-12,-4.55545689560476e-08,2.86442084105877e-11,4.86229299193592e-07,-2.03074242749999e-12,-7.67395572285026e-07,7.11656297401384e-12,-7.32449740354205e-07,-4.78794172277223e-11,-1.69459079872394e-06,-8.17193189691576e-11,-2.92480815032321e-06,-1.3581370671014e-10,-2.68461433843616e-06,-2.71387483727177e-10,-6.05023218506468e-06,-2.42286077540899e-10,-3.51761227000315e-06,-5.50955619156395e-10,-9.80594569861535e-06,-3.02000704372907e-10,-3.88394349284698e-06
0.014,0,0,1.44255880874317e-11,0,1.18165091516018e-11,3.01907430030895e-07,8.79055751078057e-12,5.03677613357649e-07,2.06566487995243e-11,8.09924152599042e-07,1.04003244310794e-11,4.16435517280055e-07,3.36204657534595e-11,9.5407266679887e-07,1.31377976094468e-11,-2.10643036304814e-07,3.58003922637804e-11,2.46992842844414e-07,-1.76657849212479e-11,-1.26011474058604e-06,-2.4843425759044e-11,-1.64490463049716e-06,-1.15988396500407e-10,-2.54466835446812e-06,-2.20035629607728e-10,-4.84563575881202e-06,-2.83016621626103e-10,-3.83817979329143e-06,-5.97939651459865e-10,-9.23725624326359e-06,-4.6831948913148e-10,-4.87653105707977e-06,-1.12729765754313e-09,-1.43993613705653e-05,-5.65263147439473e-10,-5.31416192355968e-06
0.016,0,0,1.72552511260237e-11,0,1.45334175617115e-11,3.0769601661799e-07,1.15381300949711e-11,5.010066468723e-07,2.6851798986395e-11,7.73834705187697e-07,1.44279161797485e-11,3.18491313578774e-07,4.2332951709732e-11,7.28397616338291e-07,1.14292689037924e-11,-5.09636517783329e-07,2.94739894603317e-11,-4.19642889800058e-07,-5.24146812626343e-11,-1.85711193276858e-06,-1.01324160652492e-10,-3.0859092824499e-06,-2.29606023395715e-10,-3.50225211589809e-06,-4.67867954311468e-10,-7.42363578072717e-06,-5.15954122451443e-10,-5.14356086017353e-06,-1.13907884179961e-09,-1.32508706825632e-05,-8.16006250855483e-10,-6.41793044355304e-06,-2.04843384203746e-09,-2.00075902029542e-05,-9.62572764400112e-10,-6.9350651224623e-06
0.018,0,0,1.91059659383319e-11,0,1.69961252929997e-11,2.71497490084337e-07,1.50706539034769e-11,4.11208331182441e-07,3.3896744519001e-11,5.64434966008593e-07,1.86524195035214e-11,5.0516831426779e-08,4.74802164111469e-11,1.39530845384708e-07,-1.18288659292019e-12,-1.00747577056052e-06,-1.14337693148423e-12,-1.63966606224716e-06,-1.19095912977317e-10,-2.62972634673036e-06,-2.47589821267536e-10,-5.23327153053503e-06,-4.03104932719735e-10,-4.58744831617035e-06,-8.60366492117666e-10,-1.08098748156632e-05,-8.38689445308211e-10,-6.5286550949937e-06,-1.92868919083032e-09,-1.81421415999024e-05,-1.28012942860144e-09,-8.02348413978542e-06,-3.3413232388235e-09,-2.65560912832957e-05,-1.48623570202534e-09,-8.61777036742532e-06
